Al,"22/08/2025"
 
Ticker dell'emittente,Nome,Settore,Asset Class,Valore di mercato,Ponderazione (%),Valore nozionale,Nominale,Prezzo,Area Geografica,Cambio,Valuta di mercato
"RY","ROYAL BANK OF CANADA","Finanziari","Azionario","19.482.281,58","0,60","19.482.281,58","141.373,00","137,81","Canada","Toronto Stock Exchange","CAD"
"MSTR","STRATEGY INC CLASS A","IT","Azionario","19.291.388,71","0,59","19.291.388,71","53.867,00","358,13","Stati Uniti","NASDAQ","USD"
"ZURN","ZURICH INSURANCE GROUP AG","Finanziari","Azionario","18.600.469,09","0,57","18.600.469,09","25.142,00","739,82","Svizzera","SIX Swiss Exchange","CHF"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Finanziari","Azionario","18.195.464,32","0,56","18.195.464,32","27.978,00","650,35","Germania","Xetra","EUR"
"CME","CME GROUP INC CLASS A","Finanziari","Azionario","18.054.066,72","0,55","18.054.066,72","66.986,00","269,52","Stati Uniti","NASDAQ","USD"
"TMUS","T MOBILE US INC","Comunicazione","Azionario","17.979.907,85","0,55","17.979.907,85","71.363,00","251,95","Stati Uniti","NASDAQ","USD"
"ISRG","INTUITIVE SURGICAL INC","Salute","Azionario","17.320.796,16","0,53","17.320.796,16","36.376,00","476,16","Stati Uniti","NASDAQ","USD"
"WELL","WELLTOWER INC","Immobili","Azionario","17.277.646,68","0,53","17.277.646,68","105.076,00","164,43","Stati Uniti","New York Stock Exchange Inc.","USD"
"ENB","ENBRIDGE INC","Energia","Azionario","17.221.587,60","0,53","17.221.587,60","359.192,00","47,95","Canada","Toronto Stock Exchange","CAD"
"MCK","MCKESSON CORP","Salute","Azionario","16.993.563,60","0,52","16.993.563,60","24.648,00","689,45","Stati Uniti","New York Stock Exchange Inc.","USD"
"UCG","UNICREDIT","Finanziari","Azionario","16.779.663,22","0,51","16.779.663,22","206.960,00","81,08","Italia","Borsa Italiana","EUR"
"NOW","SERVICENOW INC","IT","Azionario","16.717.011,00","0,51","16.717.011,00","18.852,00","886,75","Stati Uniti","New York Stock Exchange Inc.","USD"
"HWM","HOWMET AEROSPACE INC","Industriali","Azionario","16.715.250,00","0,51","16.715.250,00","97.750,00","171,00","Stati Uniti","New York Stock Exchange Inc.","USD"
"DB1","DEUTSCHE BOERSE AG","Finanziari","Azionario","16.204.736,66","0,50","16.204.736,66","53.830,00","301,03","Germania","Xetra","EUR"
"SPGI","S&P GLOBAL INC","Finanziari","Azionario","15.349.342,84","0,47","15.349.342,84","27.574,00","556,66","Stati Uniti","New York Stock Exchange Inc.","USD"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA SA","Finanziari","Azionario","15.331.537,04","0,47","15.331.537,04","795.123,00","19,28","Spagna","Bolsa De Madrid","EUR"
"7011","MITSUBISHI HEAVY INDUSTRIES LTD","Industriali","Azionario","15.286.081,51","0,47","15.286.081,51","587.500,00","26,02","Giappone","Tokyo Stock Exchange","JPY"
"APH","AMPHENOL CORP CLASS A","IT","Azionario","15.125.253,52","0,46","15.125.253,52","138.307,00","109,36","Stati Uniti","New York Stock Exchange Inc.","USD"
"MO","ALTRIA GROUP INC","Generi di largo consumo","Azionario","15.063.545,01","0,46","15.063.545,01","222.603,00","67,67","Stati Uniti","New York Stock Exchange Inc.","USD"
"AEM","AGNICO EAGLE MINES LTD","Materiali","Azionario","15.058.790,11","0,46","15.058.790,11","109.746,00","137,21","Canada","Toronto Stock Exchange","CAD"
"MS","MORGAN STANLEY","Finanziari","Azionario","14.996.350,26","0,46","14.996.350,26","101.313,00","148,02","Stati Uniti","New York Stock Exchange Inc.","USD"
"ORLY","OREILLY AUTOMOTIVE INC","Consumi Discrezionali","Azionario","14.735.811,61","0,45","14.735.811,61","144.031,00","102,31","Stati Uniti","NASDAQ","USD"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","IT","Azionario","14.519.488,75","0,44","14.519.488,75","34.525,00","420,55","Stati Uniti","NASDAQ","USD"
"ISP","INTESA SANPAOLO","Finanziari","Azionario","14.091.374,94","0,43","14.091.374,94","2.131.409,00","6,61","Italia","Borsa Italiana","EUR"
"DBK","DEUTSCHE BANK AG","Finanziari","Azionario","13.643.227,79","0,42","13.643.227,79","367.286,00","37,15","Germania","Xetra","EUR"
"EL","ESSILORLUXOTTICA SA","Salute","Azionario","13.444.014,53","0,41","13.444.014,53","42.180,00","318,73","Francia","Nyse Euronext - Euronext Paris","EUR"
"CS","AXA SA","Finanziari","Azionario","13.321.016,58","0,41","13.321.016,58","266.917,00","49,91","Francia","Nyse Euronext - Euronext Paris","EUR"
"LLOY","LLOYDS BANKING GROUP PLC","Finanziari","Azionario","12.931.607,26","0,40","12.931.607,26","11.369.341,00","1,14","Regno unito","London Stock Exchange","GBP"
"BA.","BAE SYSTEMS PLC","Industriali","Azionario","12.709.813,60","0,39","12.709.813,60","532.745,00","23,86","Regno unito","London Stock Exchange","GBP"
"GLE","SOCIETE GENERALE SA","Finanziari","Azionario","12.631.311,98","0,39","12.631.311,98","186.366,00","67,78","Francia","Nyse Euronext - Euronext Paris","EUR"
"SREN","SWISS RE AG","Finanziari","Azionario","12.611.204,67","0,39","12.611.204,67","68.742,00","183,46","Svizzera","SIX Swiss Exchange","CHF"
"ICE","INTERCONTINENTAL EXCHANGE INC","Finanziari","Azionario","12.030.995,97","0,37","12.030.995,97","66.591,00","180,67","Stati Uniti","New York Stock Exchange Inc.","USD"
"SE","SEA ADS REPRESENTING LTD CLASS A","Comunicazione","Azionario","12.005.646,30","0,37","12.005.646,30","64.710,00","185,53","Singapore","New York Stock Exchange Inc.","USD"
"REL","RELX PLC","Industriali","Azionario","11.994.591,25","0,37","11.994.591,25","247.455,00","48,47","Regno unito","London Stock Exchange","GBP"
"AJG","ARTHUR J GALLAGHER","Finanziari","Azionario","11.275.801,81","0,34","11.275.801,81","37.193,00","303,17","Stati Uniti","New York Stock Exchange Inc.","USD"
"BARC","BARCLAYS PLC","Finanziari","Azionario","11.141.740,59","0,34","11.141.740,59","2.188.389,00","5,09","Regno unito","London Stock Exchange","GBP"
"CSU","CONSTELLATION SOFTWARE INC","IT","Azionario","10.718.245,47","0,33","10.718.245,47","3.259,00","3.288,81","Canada","Toronto Stock Exchange","CAD"
"BN","DANONE SA","Generi di largo consumo","Azionario","10.620.121,60","0,32","10.620.121,60","123.745,00","85,82","Francia","Nyse Euronext - Euronext Paris","EUR"
"WMB","WILLIAMS INC","Energia","Azionario","10.524.506,98","0,32","10.524.506,98","184.414,00","57,07","Stati Uniti","New York Stock Exchange Inc.","USD"
"III","3I GROUP PLC","Finanziari","Azionario","10.504.862,57","0,32","10.504.862,57","188.985,00","55,59","Regno unito","London Stock Exchange","GBP"
"NWG","NATWEST GROUP PLC","Finanziari","Azionario","10.477.838,36","0,32","10.477.838,36","1.377.543,00","7,61","Regno unito","London Stock Exchange","GBP"
"DUK","DUKE ENERGY CORP","Imprese di servizi di pubblica utilità","Azionario","10.270.857,02","0,31","10.270.857,02","82.603,00","124,34","Stati Uniti","New York Stock Exchange Inc.","USD"
"MMM","3M","Industriali","Azionario","10.107.607,04","0,31","10.107.607,04","63.682,00","158,72","Stati Uniti","New York Stock Exchange Inc.","USD"
"AZO","AUTOZONE INC","Consumi Discrezionali","Azionario","10.029.888,40","0,31","10.029.888,40","2.440,00","4.110,61","Stati Uniti","New York Stock Exchange Inc.","USD"
"BK","BANK OF NEW YORK MELLON CORP","Finanziari","Azionario","9.964.221,96","0,30","9.964.221,96","97.174,00","102,54","Stati Uniti","New York Stock Exchange Inc.","USD"
"SO","SOUTHERN","Imprese di servizi di pubblica utilità","Azionario","9.923.423,36","0,30","9.923.423,36","105.032,00","94,48","Stati Uniti","New York Stock Exchange Inc.","USD"
"AXON","AXON ENTERPRISE INC","Industriali","Azionario","9.873.768,64","0,30","9.873.768,64","12.886,00","766,24","Stati Uniti","NASDAQ","USD"
"D05","DBS GROUP HOLDINGS LTD","Finanziari","Azionario","9.853.387,46","0,30","9.853.387,46","248.400,00","39,67","Singapore","Singapore Exchange","SGD"
"RSG","REPUBLIC SERVICES INC","Industriali","Azionario","9.840.737,04","0,30","9.840.737,04","41.997,00","234,32","Stati Uniti","New York Stock Exchange Inc.","USD"
"DG","VINCI SA","Industriali","Azionario","9.522.311,63","0,29","9.522.311,63","62.994,00","151,16","Francia","Nyse Euronext - Euronext Paris","EUR"
"IMB","IMPERIAL BRANDS PLC","Generi di largo consumo","Azionario","9.472.832,91","0,29","9.472.832,91","224.278,00","42,24","Regno unito","London Stock Exchange","GBP"
"HEI","HEIDELBERG MATERIALS AG","Materiali","Azionario","9.362.443,19","0,29","9.362.443,19","39.378,00","237,76","Germania","Xetra","EUR"
"RCL","ROYAL CARIBBEAN GROUP LTD","Consumi Discrezionali","Azionario","9.149.265,15","0,28","9.149.265,15","26.545,00","344,67","Stati Uniti","New York Stock Exchange Inc.","USD"
"BN","BROOKFIELD CORP CLASS A","Finanziari","Azionario","9.050.765,69","0,28","9.050.765,69","137.355,00","65,89","Canada","Toronto Stock Exchange","CAD"
"8316","SUMITOMO MITSUI FINANCIAL GROUP IN","Finanziari","Azionario","9.001.246,81","0,28","9.001.246,81","320.300,00","28,10","Giappone","Tokyo Stock Exchange","JPY"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Comunicazione","Azionario","8.957.363,30","0,27","8.957.363,30","39.110,00","229,03","Stati Uniti","NASDAQ","USD"
"WBC","WESTPAC BANKING CORPORATION CORP","Finanziari","Azionario","8.788.924,74","0,27","8.788.924,74","347.255,00","25,31","Australia","Asx - All Markets","AUD"
