Fund Holdings as of,"21/Aug/2025"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"KFH","KUWAIT FINANCE HOUSE","Financials","Equity","76,994,422.73","0.27","76,994,422.73","29,658,368.00","2.60","Kuwait","Kuwait Stock Exchange","KWD"
"BAJFINANCE","BAJAJ FINANCE LTD","Financials","Equity","76,905,137.59","0.27","76,905,137.59","7,493,176.00","10.26","India","National Stock Exchange Of India","INR"
"NBK","NATIONAL BANK OF KUWAIT","Financials","Equity","75,907,006.24","0.27","75,907,006.24","22,259,020.00","3.41","Kuwait","Kuwait Stock Exchange","KWD"
"BBCA","BANK CENTRAL ASIA","Financials","Equity","75,903,576.60","0.27","75,903,576.60","144,571,900.00","0.53","Indonesia","Indonesia Stock Exchange","IDR"
"AXISBANK","AXIS BANK LTD","Financials","Equity","74,149,107.76","0.26","74,149,107.76","5,997,212.00","12.36","India","National Stock Exchange Of India","INR"
"GFI","GOLD FIELDS LTD","Materials","Equity","73,542,291.74","0.26","73,542,291.74","2,400,143.00","30.64","South Africa","Johannesburg Stock Exchange","ZAR"
"ANG","ANGLOGOLD ASHANTI PLC","Materials","Equity","72,266,888.26","0.25","72,266,888.26","1,336,498.00","54.07","South Africa","Johannesburg Stock Exchange","ZAR"
"EMAAR","EMAAR PROPERTIES","Real Estate","Equity","71,488,306.46","0.25","71,488,306.46","17,861,864.00","4.00","United Arab Emirates","Dubai Financial Market","AED"
"IKSA","ISHARES MSCI SAUDI ARABIA CAPPED","Financials","Equity","71,385,211.14","0.25","71,385,211.14","11,722,672.00","6.09","Ireland","London Stock Exchange","USD"
"LT","LARSEN AND TOUBRO LTD","Industrials","Equity","69,016,007.21","0.24","69,016,007.21","1,667,073.00","41.40","India","National Stock Exchange Of India","INR"
"KOTAKBANK","KOTAK MAHINDRA BANK LTD","Financials","Equity","68,697,379.50","0.24","68,697,379.50","2,970,891.00","23.12","India","National Stock Exchange Of India","INR"
"1180","THE SAUDI NATIONAL BANK","Financials","Equity","68,671,234.75","0.24","68,671,234.75","7,142,722.00","9.61","Saudi Arabia","Saudi Stock Exchange","SAR"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Consumer Staples","Equity","66,492,454.10","0.23","66,492,454.10","2,191,185.00","30.35","India","National Stock Exchange Of India","INR"
"9888","BAIDU CLASS A INC","Communication","Equity","66,381,520.11","0.23","66,381,520.11","6,102,336.00","10.88","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1024","KUAISHOU TECHNOLOGY","Communication","Equity","66,163,455.51","0.23","66,163,455.51","7,205,500.00","9.18","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"QNBK","QATAR NATIONAL BANK","Financials","Equity","64,687,798.34","0.23","64,687,798.34","12,235,235.00","5.29","Qatar","Qatar Exchange","QAR"
"3968","CHINA MERCHANTS BANK LTD H","Financials","Equity","64,556,014.29","0.23","64,556,014.29","10,349,492.00","6.24","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2881","FUBON FINANCIAL HOLDING LTD","Financials","Equity","63,104,294.89","0.22","63,104,294.89","21,803,856.00","2.89","Taiwan","Taiwan Stock Exchange","TWD"
"2891","CTBC FINANCIAL HOLDING LTD","Financials","Equity","62,738,131.17","0.22","62,738,131.17","44,308,079.00","1.42","Taiwan","Taiwan Stock Exchange","TWD"
"2382","QUANTA COMPUTER INC","Information Technology","Equity","62,293,449.58","0.22","62,293,449.58","7,338,000.00","8.49","Taiwan","Taiwan Stock Exchange","TWD"
"2628","CHINA LIFE INSURANCE LTD H","Financials","Equity","62,158,891.21","0.22","62,158,891.21","19,728,000.00","3.15","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"035420","NAVER CORP","Communication","Equity","60,880,084.38","0.21","60,880,084.38","381,770.00","159.47","Korea (South)","Korea Exchange (Stock Market)","KRW"
"PETR4","PETROLEO BRASILEIRO PREF SA","Energy","Equity","59,534,555.72","0.21","59,534,555.72","10,777,838.00","5.52","Brazil","XBSP","BRL"
"ICSUAGD","BLK ICS USD LIQ AGENCY DIS","Cash and/or Derivatives","Money Market","59,096,409.41","0.21","59,096,409.41","59,096,409.00","1.00","Ireland","-","USD"
"9992","POP MART INTERNATIONAL GROUP LTD","Consumer Discretionary","Equity","58,599,372.91","0.21","58,599,372.91","1,431,800.00","40.93","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"GFNORTEO","GPO FINANCE BANORTE","Financials","Equity","58,337,722.69","0.21","58,337,722.69","6,593,411.00","8.85","Mexico","Bolsa Mexicana De Valores","MXN"
"FSR","FIRSTRAND LTD","Financials","Equity","57,438,916.18","0.20","57,438,916.18","13,246,579.00","4.34","South Africa","Johannesburg Stock Exchange","ZAR"
"005380","HYUNDAI MOTOR","Consumer Discretionary","Equity","57,370,622.50","0.20","57,370,622.50","362,199.00","158.40","Korea (South)","Korea Exchange (Stock Market)","KRW"
"012450","HANWHA AEROSPACE LTD","Industrials","Equity","55,927,023.74","0.20","55,927,023.74","93,775.00","596.40","Korea (South)","Korea Exchange (Stock Market)","KRW"
"055550","SHINHAN FINANCIAL GROUP LTD","Financials","Equity","55,266,950.80","0.19","55,266,950.80","1,153,512.00","47.91","Korea (South)","Korea Exchange (Stock Market)","KRW"
"7010","SAUDI TELECOM","Communication","Equity","55,249,102.46","0.19","55,249,102.46","4,833,073.00","11.43","Saudi Arabia","Saudi Stock Exchange","SAR"
"GMEXICOB","GRUPO MEXICO B","Materials","Equity","55,079,733.40","0.19","55,079,733.40","8,257,446.00","6.67","Mexico","Bolsa Mexicana De Valores","MXN"
"857","PETROCHINA LTD H","Energy","Equity","55,069,133.21","0.19","55,069,133.21","56,994,000.00","0.97","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"MARUTI","MARUTI SUZUKI INDIA LTD","Consumer Discretionary","Equity","54,977,948.45","0.19","54,977,948.45","335,958.00","163.65","India","National Stock Exchange Of India","INR"
"PKO","POWSZECHNA KASA OSZCZEDNOSCI BANK","Financials","Equity","54,643,372.21","0.19","54,643,372.21","2,388,902.00","22.87","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"FAB","FIRST ABU DHABI BANK","Financials","Equity","54,470,084.10","0.19","54,470,084.10","11,658,693.00","4.67","United Arab Emirates","Abu Dhabi Securities Exchange","AED"
"2882","CATHAY FINANCIAL HOLDING LTD","Financials","Equity","54,230,317.59","0.19","54,230,317.59","25,651,781.00","2.11","Taiwan","Taiwan Stock Exchange","TWD"
"OTP","OTP BANK","Financials","Equity","53,681,920.14","0.19","53,681,920.14","596,269.00","90.03","Hungary","Budapest Stock Exchange","HUF"
"068270","CELLTRION INC","Health Care","Equity","53,141,586.60","0.19","53,141,586.60","433,819.00","122.50","Korea (South)","Korea Exchange (Stock Market)","KRW"
"6160","BEONE MEDICINES AG","Health Care","Equity","52,660,771.19","0.19","52,660,771.19","2,194,592.00","24.00","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1288","AGRICULTURAL BANK OF CHINA LTD H","Financials","Equity","52,428,807.64","0.18","52,428,807.64","74,082,000.00","0.71","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"034020","DOOSAN ENERBILITY LTD","Industrials","Equity","51,890,888.87","0.18","51,890,888.87","1,179,906.00","43.98","Korea (South)","Korea Exchange (Stock Market)","KRW"
"PETR3","PETROLEO BRASILEIRO SA PETROBRAS","Energy","Equity","51,715,139.74","0.18","51,715,139.74","8,685,530.00","5.95","Brazil","XBSP","BRL"
"TME","TENCENT MUSIC ENTERTAINMENT GROUP","Communication","Equity","50,101,551.36","0.18","50,101,551.36","2,004,864.00","24.99","China","New York Stock Exchange Inc.","USD"
"SBK","STANDARD BANK GROUP","Financials","Equity","50,000,661.98","0.18","50,000,661.98","3,553,246.00","14.07","South Africa","Johannesburg Stock Exchange","ZAR"
"SUNPHARMA","SUN PHARMACEUTICAL INDUSTRIES LTD","Health Care","Equity","48,071,343.14","0.17","48,071,343.14","2,557,491.00","18.80","India","National Stock Exchange Of India","INR"
