Fund Holdings as of,"21/Aug/2025"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"UNP","UNION PACIFIC CORP","Industrials","Equity","34,302,600.90","0.15","34,302,600.90","152,253.00","225.30","United States","New York Stock Exchange Inc.","USD"
"SYK","STRYKER CORP","Health Care","Equity","34,211,002.17","0.15","34,211,002.17","88,899.00","384.83","United States","New York Stock Exchange Inc.","USD"
"RR.","ROLLS-ROYCE HOLDINGS PLC","Industrials","Equity","34,178,374.11","0.15","34,178,374.11","2,446,325.00","13.97","United Kingdom","London Stock Exchange","GBP"
"TD","TORONTO DOMINION","Financials","Equity","34,152,457.45","0.15","34,152,457.45","463,250.00","73.72","Canada","Toronto Stock Exchange","CAD"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","34,146,754.20","0.15","34,146,754.20","313,820.00","108.81","United States","New York Stock Exchange Inc.","USD"
"DHR","DANAHER CORP","Health Care","Equity","33,950,981.20","0.15","33,950,981.20","166,508.00","203.90","United States","New York Stock Exchange Inc.","USD"
"DTE","DEUTSCHE TELEKOM N AG","Communication","Equity","33,937,757.59","0.15","33,937,757.59","924,237.00","36.72","Germany","Xetra","EUR"
"UCG","UNICREDIT","Financials","Equity","33,810,459.79","0.15","33,810,459.79","420,722.00","80.36","Italy","Borsa Italiana","EUR"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","33,749,658.67","0.15","33,749,658.67","291,473.00","115.79","United States","NASDAQ","USD"
"IBE","IBERDROLA SA","Utilities","Equity","33,627,462.12","0.15","33,627,462.12","1,742,282.00","19.30","Spain","Bolsa De Madrid","EUR"
"UBSG","UBS GROUP AG","Financials","Equity","33,520,574.27","0.15","33,520,574.27","849,633.00","39.45","Switzerland","SIX Swiss Exchange","CHF"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","33,241,656.00","0.15","33,241,656.00","989,335.00","33.60","United States","NASDAQ","USD"
"6501","HITACHI LTD","Industrials","Equity","33,213,248.74","0.15","33,213,248.74","1,198,500.00","27.71","Japan","Tokyo Stock Exchange","JPY"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","33,167,614.35","0.15","33,167,614.35","337,035.00","98.41","United States","NASDAQ","USD"
"USD","USD CASH","Cash and/or Derivatives","Cash","32,975,841.50","0.15","32,975,841.50","32,975,842.00","100.00","United States","-","USD"
"DE","DEERE","Industrials","Equity","32,911,790.64","0.14","32,911,790.64","67,614.00","486.76","United States","New York Stock Exchange Inc.","USD"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","32,472,690.25","0.14","32,472,690.25","131,495.00","246.95","United States","NASDAQ","USD"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","32,382,798.36","0.14","32,382,798.36","106,194.00","304.94","United States","NASDAQ","USD"
"TMUS","T MOBILE US INC","Communication","Equity","32,344,091.92","0.14","32,344,091.92","125,287.00","258.16","United States","NASDAQ","USD"
"SAF","SAFRAN SA","Industrials","Equity","32,259,302.20","0.14","32,259,302.20","94,941.00","339.78","France","Nyse Euronext - Euronext Paris","EUR"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","32,216,840.12","0.14","32,216,840.12","175,741.00","183.32","United States","NASDAQ","USD"
"COP","CONOCOPHILLIPS","Energy","Equity","32,173,924.02","0.14","32,173,924.02","339,459.00","94.78","United States","New York Stock Exchange Inc.","USD"
"BX","BLACKSTONE INC","Financials","Equity","32,110,076.16","0.14","32,110,076.16","196,464.00","163.44","United States","New York Stock Exchange Inc.","USD"
"BATS","BRITISH AMERICAN TOBACCO","Consumer Staples","Equity","31,519,589.48","0.14","31,519,589.48","534,348.00","58.99","United Kingdom","London Stock Exchange","GBP"
"AIR","AIRBUS GROUP","Industrials","Equity","31,433,435.61","0.14","31,433,435.61","149,565.00","210.17","France","Nyse Euronext - Euronext Paris","EUR"
"KLAC","KLA CORP","Information Technology","Equity","31,363,292.89","0.14","31,363,292.89","35,951.00","872.39","United States","NASDAQ","USD"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","30,848,340.96","0.14","30,848,340.96","455,797.00","67.68","United States","New York Stock Exchange Inc.","USD"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA SA","Financials","Equity","30,668,015.64","0.13","30,668,015.64","1,608,309.00","19.07","Spain","Bolsa De Madrid","EUR"
"MDT","MEDTRONIC PLC","Health Care","Equity","29,869,048.10","0.13","29,869,048.10","327,871.00","91.10","United States","New York Stock Exchange Inc.","USD"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materials","Equity","29,675,264.40","0.13","29,675,264.40","139,366.00","212.93","France","Nyse Euronext - Euronext Paris","EUR"
"SAN","SANOFI SA","Health Care","Equity","29,024,456.13","0.13","29,024,456.13","285,647.00","101.61","France","Nyse Euronext - Euronext Paris","EUR"
"OR","LOREAL SA","Consumer Staples","Equity","28,845,371.42","0.13","28,845,371.42","61,970.00","465.48","France","Nyse Euronext - Euronext Paris","EUR"
"1810","XIAOMI CORP","Information Technology","Equity","28,750,847.85","0.13","28,750,847.85","4,375,000.00","6.57","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"CB","CHUBB LTD","Financials","Equity","28,684,443.96","0.13","28,684,443.96","102,878.00","278.82","United States","New York Stock Exchange Inc.","USD"
"SPOT","SPOTIFY TECHNOLOGY SA","Communication","Equity","28,127,618.12","0.12","28,127,618.12","40,796.00","689.47","Sweden","New York Stock Exchange Inc.","USD"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Equity","27,793,891.47","0.12","27,793,891.47","37,670.00","737.83","Switzerland","SIX Swiss Exchange","CHF"
"ENB","ENBRIDGE INC","Energy","Equity","27,707,390.71","0.12","27,707,390.71","577,265.00","48.00","Canada","Toronto Stock Exchange","CAD"
"WELL","WELLTOWER INC","Real Estate","Equity","27,579,155.76","0.12","27,579,155.76","165,204.00","166.94","United States","New York Stock Exchange Inc.","USD"
"ABBN","ABB LTD","Industrials","Equity","27,404,879.80","0.12","27,404,879.80","414,536.00","66.11","Switzerland","SIX Swiss Exchange","CHF"
"1299","AIA GROUP LTD","Financials","Equity","27,239,075.24","0.12","27,239,075.24","2,897,800.00","9.40","Hong Kong","Hong Kong Exchanges And Clearing Ltd","HKD"
"SNPS","SYNOPSYS INC","Information Technology","Equity","27,117,438.78","0.12","27,117,438.78","45,334.00","598.17","United States","NASDAQ","USD"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","27,108,176.45","0.12","27,108,176.45","27,367,000.00","0.99","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","27,043,575.86","0.12","27,043,575.86","68,041.00","397.46","United States","NASDAQ","USD"
"8316","SUMITOMO MITSUI FINANCIAL GROUP IN","Financials","Equity","26,986,683.09","0.12","26,986,683.09","979,300.00","27.56","Japan","Tokyo Stock Exchange","JPY"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","26,822,948.13","0.12","26,822,948.13","247,467.00","108.39","United States","New York Stock Exchange Inc.","USD"
"MELI","MERCADOLIBRE INC","Consumer Discretionary","Equity","26,782,387.52","0.12","26,782,387.52","11,458.00","2,337.44","United States","NASDAQ","USD"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","26,727,573.00","0.12","26,727,573.00","64,550.00","414.06","United States","NASDAQ","USD"
"SO","SOUTHERN","Utilities","Equity","26,543,180.88","0.12","26,543,180.88","280,524.00","94.62","United States","New York Stock Exchange Inc.","USD"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","26,300,928.24","0.12","26,300,928.24","124,584.00","211.11","United States","New York Stock Exchange Inc.","USD"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","26,203,487.04","0.12","26,203,487.04","295,884.00","88.56","United States","NASDAQ","USD"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","26,096,374.00","0.11","26,096,374.00","1,110,484.00","23.50","United States","NASDAQ","USD"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","26,025,313.40","0.11","26,025,313.40","537,380.00","48.43","United States","New York Stock Exchange Inc.","USD"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","25,841,043.03","0.11","25,841,043.03","123,211.00","209.73","United States","New York Stock Exchange Inc.","USD"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","25,793,103.44","0.11","25,793,103.44","61,594.00","418.76","United States","NASDAQ","USD"
