Fund Holdings as of,"22/Aug/2025"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"9888","BAIDU CLASS A INC","Communication","Equity","13,516,231.63","0.33","13,516,231.63","1,233,078.00","10.96","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3968","CHINA MERCHANTS BANK LTD H","Financials","Equity","13,373,714.04","0.33","13,373,714.04","2,161,761.00","6.19","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2628","CHINA LIFE INSURANCE LTD H","Financials","Equity","12,894,961.71","0.32","12,894,961.71","4,066,128.00","3.17","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2881","FUBON FINANCIAL HOLDING LTD","Financials","Equity","12,890,061.22","0.32","12,890,061.22","4,487,765.00","2.87","Taiwan","Taiwan Stock Exchange","TWD"
"2891","CTBC FINANCIAL HOLDING LTD","Financials","Equity","12,787,601.44","0.32","12,787,601.44","9,164,847.00","1.40","Taiwan","Taiwan Stock Exchange","TWD"
"035420","NAVER CORP","Communication","Equity","12,640,662.40","0.31","12,640,662.40","79,324.00","159.35","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2382","QUANTA COMPUTER INC","Information Technology","Equity","12,518,282.52","0.31","12,518,282.52","1,482,000.00","8.45","Taiwan","Taiwan Stock Exchange","TWD"
"9992","POP MART INTERNATIONAL GROUP LTD","Consumer Discretionary","Equity","12,186,500.81","0.30","12,186,500.81","297,200.00","41.00","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"012450","HANWHA AEROSPACE LTD","Industrials","Equity","12,057,225.61","0.30","12,057,225.61","18,852.00","639.57","Korea (South)","Korea Exchange (Stock Market)","KRW"
"005380","HYUNDAI MOTOR","Consumer Discretionary","Equity","11,853,099.25","0.29","11,853,099.25","75,058.00","157.92","Korea (South)","Korea Exchange (Stock Market)","KRW"
"055550","SHINHAN FINANCIAL GROUP LTD","Financials","Equity","11,394,683.58","0.28","11,394,683.58","237,993.00","47.88","Korea (South)","Korea Exchange (Stock Market)","KRW"
"MARUTI","MARUTI SUZUKI INDIA LTD","Consumer Discretionary","Equity","11,342,478.45","0.28","11,342,478.45","69,189.00","163.93","India","National Stock Exchange Of India","INR"
"034020","DOOSAN ENERBILITY LTD","Industrials","Equity","11,105,447.03","0.28","11,105,447.03","248,733.00","44.65","Korea (South)","Korea Exchange (Stock Market)","KRW"
"857","PETROCHINA LTD H","Energy","Equity","11,104,126.76","0.28","11,104,126.76","11,553,319.00","0.96","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"068270","CELLTRION INC","Health Care","Equity","11,056,889.60","0.27","11,056,889.60","88,628.00","124.76","Korea (South)","Korea Exchange (Stock Market)","KRW"
"6160","BEONE MEDICINES AG","Health Care","Equity","10,980,280.63","0.27","10,980,280.63","457,832.00","23.98","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2882","CATHAY FINANCIAL HOLDING LTD","Financials","Equity","10,909,985.54","0.27","10,909,985.54","5,233,202.00","2.08","Taiwan","Taiwan Stock Exchange","TWD"
"1288","AGRICULTURAL BANK OF CHINA LTD H","Financials","Equity","10,861,614.52","0.27","10,861,614.52","15,430,997.00","0.70","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"TME","TENCENT MUSIC ENTERTAINMENT GROUP","Communication","Equity","10,444,022.55","0.26","10,444,022.55","411,993.00","25.35","China","New York Stock Exchange Inc.","USD"
"RIGD","RELIANCE INDUSTRIES GDR REPRESENTI 144A","Energy","Equity","10,120,048.40","0.25","10,120,048.40","157,388.00","64.30","India","London Stock Exchange","USD"
