Ticker dell'emittente,Nome,Settore,Asset Class,Valore di mercato,Ponderazione (%),Valore nozionale,Nominale,Prezzo,Area Geografica,Cambio,Valuta di mercato
MFC,MANULIFE FINANCIAL CORP,Finanziari,Azionario,"18.771.799,44",0.6,"18.771.799,44","716.203,00","26,21",Canada,Toronto Stock Exchange,CAD
CVX,CHEVRON CORP,Energia,Azionario,"18.464.727,48",0.59,"18.464.727,48","136.787,00","134,99",Stati Uniti,New York Stock Exchange Inc.,USD
SRE,SEMPRA,Imprese di servizi di pubblica utilità,Azionario,"18.316.457,16",0.59,"18.316.457,16","258.905,00","70,75",Stati Uniti,New York Stock Exchange Inc.,USD
CAG,CONAGRA BRANDS INC,Generi di largo consumo,Azionario,"17.365.444,12",0.56,"17.365.444,12","1.035.037,00","16,78",Stati Uniti,New York Stock Exchange Inc.,USD
FITB,FIFTH THIRD BANCORP,Finanziari,Azionario,"16.921.775,14",0.55,"16.921.775,14","442.709,00","38,22",Stati Uniti,NASDAQ,USD
FANG,DIAMONDBACK ENERGY INC,Energia,Azionario,"15.968.909,37",0.51,"15.968.909,37","130.600,00","122,27",Stati Uniti,NASDAQ,USD
PSX,PHILLIPS,Energia,Azionario,"15.647.135,72",0.5,"15.647.135,72","141.106,00","110,89",Stati Uniti,New York Stock Exchange Inc.,USD
DUK,DUKE ENERGY CORP,Imprese di servizi di pubblica utilità,Azionario,"15.563.403,72",0.5,"15.563.403,72","146.672,00","106,11",Stati Uniti,New York Stock Exchange Inc.,USD
HPQ,HP INC,IT,Azionario,"15.503.127,99",0.5,"15.503.127,99","654.887,00","23,67",Stati Uniti,New York Stock Exchange Inc.,USD
DVN,DEVON ENERGY CORP,Energia,Azionario,"14.937.028,98",0.48,"14.937.028,98","497.816,00","30,01",Stati Uniti,New York Stock Exchange Inc.,USD
HOLN,HOLCIM LTD AG,Materiali,Azionario,"14.166.075,78",0.46,"14.166.075,78","198.413,00","71,40",Svizzera,SIX Swiss Exchange,CHF
SO,SOUTHERN,Imprese di servizi di pubblica utilità,Azionario,"14.061.378,26",0.45,"14.061.378,26","174.398,00","80,63",Stati Uniti,New York Stock Exchange Inc.,USD
PFG,PRINCIPAL FINANCIAL GROUP INC,Finanziari,Azionario,"13.623.411,57",0.44,"13.623.411,57","197.769,00","68,89",Stati Uniti,NASDAQ,USD
ED,CONSOLIDATED EDISON INC,Imprese di servizi di pubblica utilità,Azionario,"13.541.882,74",0.44,"13.541.882,74","156.108,00","86,75",Stati Uniti,New York Stock Exchange Inc.,USD
IP,INTERNATIONAL PAPER,Materiali,Azionario,"13.252.327,50",0.43,"13.252.327,50","317.633,00","41,72",Stati Uniti,New York Stock Exchange Inc.,USD
COP,CONOCOPHILLIPS,Energia,Azionario,"13.167.712,70",0.42,"13.167.712,70","159.433,00","82,59",Stati Uniti,New York Stock Exchange Inc.,USD
FNF,FIDELITY NATIONAL FINANCIAL INC,Finanziari,Azionario,"12.406.231,56",0.4,"12.406.231,56","239.027,00","51,90",Stati Uniti,New York Stock Exchange Inc.,USD
ETR,ENTERGY CORP,Imprese di servizi di pubblica utilità,Azionario,"12.331.473,63",0.4,"12.331.473,63","161.760,00","76,23",Stati Uniti,New York Stock Exchange Inc.,USD
CTRA,COTERRA ENERGY INC,Energia,Azionario,"12.087.039,42",0.39,"12.087.039,42","594.859,00","20,32",Stati Uniti,New York Stock Exchange Inc.,USD
AMGN,AMGEN INC,Salute,Azionario,"12.075.155,56",0.39,"12.075.155,56","48.174,00","250,66",Stati Uniti,NASDAQ,USD
GILD,GILEAD SCIENCES INC,Salute,Azionario,"11.641.544,80",0.38,"11.641.544,80","118.860,00","97,94",Stati Uniti,NASDAQ,USD
IBM,INTERNATIONAL BUSINESS MACHINES CO,IT,Azionario,"10.837.442,51",0.35,"10.837.442,51","52.457,00","206,60",Stati Uniti,New York Stock Exchange Inc.,USD
EUR,EUR CASH,Liquidità e/o derivati,Contanti,"9.604.688,64",0.31,"9.604.688,64","9.604.689,00","100,00",Unione Europea,-,EUR
USD,USD CASH,Liquidità e/o derivati,Contanti,"5.188.047,29",0.17,"5.188.047,29","6.079.354,00","85,34",Stati Uniti,-,USD
