Unnamed: 0,Name,ISIN,Country,Currency,Exchange,Type of Security,Rating,Primary Listing,Industry Classification,Weighting
472,CAPITALAND INTEGRATED COMMER,SG1M51904654,Singapore,SGD,-,Real Estate Investment Trust,-,-,Real Estate,0.0004674544
473,INTERTEK GROUP PLC,GB0031638363,United Kingdom,GBP,London Stock Exchange,Equity,-,FTSE 100 Index,Industrials,0.0004643174
474,ACCOR SA,FR0000120404,France,EUR,Euronext Paris,Equity,Baa3,CAC 40 Index,Consumer Discretionary,0.0004608451
475,BANKINTER SA,ES0113679I37,Spain,EUR,Mercado Continuo Espana,Equity,Baa3,IBEX 35 Index,Financials,0.0004599786
476,IA FINANCIAL CORP INC,CA45075E1043,Canada,CAD,-,Equity,-,-,Financials,0.000459014
477,ASSOCIATED BRITISH FOODS PLC,GB0006731235,United Kingdom,GBP,London Stock Exchange,Equity,-,FTSE 100 Index,Consumer Staples,0.0004585968
478,SANRIO CO LTD,JP3343200006,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Consumer Discretionary,0.0004574987
479,MELROSE INDUSTRIES PLC,GB00BNGDN821,United Kingdom,GBP,-,Equity,-,-,Industrials,0.0004573733
480,DAIFUKU CO LTD,JP3497400006,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Industrials,0.0004544283
481,BUREAU VERITAS SA,FR0006174348,France,EUR,Euronext Paris,Equity,-,CAC 40 Index,Industrials,0.0004531615
482,HONG KONG + CHINA GAS,HK0003000038,Hong Kong,HKD,-,Equity,-,Hang Seng Index,Utilities,0.0004529525
483,HELVETIA HOLDING AG REG,CH0466642201,Switzerland,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Financials,0.0004526324
484,TELENOR ASA,NO0010063308,Norway,NOK,Oslo Stock Exchange,Equity,A3,Oslo SE All-share Index,Communication Services,0.0004523573
485,BOLIDEN AB,SE0020050417,Sweden,SEK,-,Equity,-,OMX Stockholm 30 Index,Materials,0.0004523028
486,SCOUT24 SE,DE000A12DM80,Germany,EUR,XETRA,Equity,-,DAX Index,Communication Services,0.0004522888
487,WEST JAPAN RAILWAY CO,JP3659000008,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Industrials,0.0004515226
488,EIFFAGE,FR0000130452,France,EUR,Euronext Paris,Equity,-,CAC 40 Index,Industrials,0.000449526
489,CAR GROUP LTD,AU000000CAR3,Australia,AUD,Australian Stock Exchange,Equity,-,ASX All Ordinaries Index,Communication Services,0.0004476515
490,MARKS + SPENCER GROUP PLC,GB0031274896,United Kingdom,GBP,London Stock Exchange,Equity,Baa3,FTSE 100 Index,Consumer Staples,0.0004465608
491,ENDESA SA,ES0130670112,Spain,EUR,Mercado Continuo Espana,Equity,Baa2,IBEX 35 Index,Utilities,0.0004462114
492,KUEHNE   NAGEL INTL AG REG,CH0025238863,Switzerland,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Industrials,0.0004455591
493,SINGAPORE TECH ENGINEERING,SG1F60858221,Singapore,SGD,-,Equity,-,-,Industrials,0.0004453096
494,STOCKLAND,AU000000SGP0,Australia,AUD,Australian Stock Exchange,Real Estate Investment Trust,A3,ASX All Ordinaries Index,Real Estate,0.0004416341
495,CONTINENTAL AG,DE0005439004,Germany,EUR,XETRA,Equity,Baa3,DAX Index,Consumer Discretionary,0.0004412567
496,AUTO TRADER GROUP PLC,GB00BVYVFW23,United Kingdom,GBP,London Stock Exchange,Equity,-,FTSE 100 Index,Communication Services,0.0004412078
497,KEPPEL LTD,SG1U68934629,Singapore,SGD,-,Equity,-,-,Industrials,0.0004406451
498,WISE PLC   A,GB00BL9YR756,United Kingdom,GBP,-,Equity,-,-,Financials,0.0004348413
499,MOWI ASA,NO0003054108,Norway,NOK,Oslo Stock Exchange,Equity,-,Oslo SE All-share Index,Consumer Staples,0.0004290571
500,SEVERN TRENT PLC,GB00B1FH8J72,United Kingdom,GBP,London Stock Exchange,Equity,Baa1,FTSE 100 Index,Utilities,0.0004284836
501,CAPCOM CO LTD,JP3218900003,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Communication Services,0.0004273505
502,EUROFINS SCIENTIFIC,FR0014000MR3,Luxembourg,EUR,-,Equity,-,-,Health Care,0.0004252915
503,MIZRAHI TEFAHOT BANK LTD,IL0006954379,Israel,ILS,-,Equity,-,-,Financials,0.0004238758
504,ADDTECH AB B SHARES,SE0014781795,Sweden,SEK,-,Equity,-,OMX Stockholm 30 Index,Industrials,0.0004231567
505,TELE2 AB B SHS,SE0005190238,Sweden,SEK,Stockholm Stock Exchange,Equity,-,OMX Stockholm 30 Index,Communication Services,0.0004230116
506,HEINEKEN HOLDING NV,NL0000008977,Netherlands,EUR,Euronext Amsterdam,Equity,-,Amsterdam Exchanges Index,Consumer Staples,0.0004211693
507,POWER ASSETS HOLDINGS LTD,HK0006000050,Hong Kong,HKD,-,Equity,-,Hang Seng Index,Utilities,0.0004190001
508,TORAY INDUSTRIES INC,JP3621000003,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Materials,0.0004177001
509,VAT GROUP AG,CH0311864901,Switzerland,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Industrials,0.0004161377
510,RAKUTEN GROUP INC,JP3967200001,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Consumer Discretionary,0.0004153511
511,MEDIBANK PRIVATE LTD,AU000000MPL3,Australia,AUD,Australian Stock Exchange,Equity,-,ASX All Ordinaries Index,Financials,0.000415206
512,NORSK HYDRO ASA,NO0005052605,Norway,NOK,Oslo Stock Exchange,Equity,Baa2,Oslo SE All-share Index,Materials,0.0004127615
513,AP MOLLER MAERSK A/S B,DK0010244508,Denmark,DKK,Copenhagen Stock Exchange,Equity,Baa1,OMX COPENHAGEN 20 Index,Industrials,0.0004127031
514,CK ASSET HOLDINGS LTD,KYG2177B1014,Hong Kong,HKD,-,Equity,-,-,Real Estate,0.0004110844
515,ALTAGAS LTD,CA0213611001,Canada,CAD,Toronto Stock Exchange,Equity,Baa2,S&P/TSX COMPOSITE Index,Utilities,0.0004075443
516,CHUBU ELECTRIC POWER CO INC,JP3526600006,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Utilities,0.0004063019
517,LY CORP,JP3933800009,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Communication Services,0.0004053887
518,EXOR NV,NL0012059018,Netherlands,EUR,Euronext Amsterdam,Equity,-,Amsterdam Exchanges Index,Financials,0.0004053564
519,CCL INDUSTRIES INC   CL B,CA1249003098,Canada,CAD,Toronto Stock Exchange,Equity,-,S&P/TSX COMPOSITE Index,Materials,0.0004038056
520,WHITECAP RESOURCES INC,CA96467A2002,Canada,CAD,Toronto Stock Exchange,Equity,-,S&P/TSX COMPOSITE Index,Energy,0.0004035581
521,TALANX AG,DE000TLX1005,Germany,EUR,XETRA,Equity,A3,DAX Index,Financials,0.0004033257
522,REA GROUP LTD,AU000000REA9,Australia,AUD,Australian Stock Exchange,Equity,-,ASX All Ordinaries Index,Communication Services,0.0004028961
523,WH GROUP LTD,KYG960071028,Hong Kong,HKD,-,Equity,-,Hang Seng Index,Consumer Staples,0.000401939
524,TRYG A/S,DK0060636678,Denmark,DKK,Copenhagen Stock Exchange,Equity,-,OMX COPENHAGEN 20 Index,Financials,0.0004018472
525,TELIA CO AB,SE0000667925,Sweden,SEK,Stockholm Stock Exchange,Equity,A3,OMX Stockholm 30 Index,Communication Services,0.0004007626
526,ORION OYJ CLASS B,FI0009014377,Finland,EUR,Helsinki Stock Exchange,Equity,-,OMX Helsinki Index,Health Care,0.0003991512
527,KLEPIERRE,FR0000121964,France,EUR,Euronext Paris,Real Estate Investment Trust,A3,CAC 40 Index,Real Estate,0.0003988788
528,SIGMA HEALTHCARE LTD,AU000000SIG5,Australia,AUD,Australian Stock Exchange,Equity,-,ASX All Ordinaries Index,Health Care,0.0003979181
529,JARDINE MATHESON HOLDINGS,BMG507361001,Hong Kong,USD,-,Equity,-,-,Industrials,0.0003967968
530,PEARSON PLC,GB0006776081,United Kingdom,GBP,London Stock Exchange,Equity,Baa1,FTSE 100 Index,Consumer Discretionary,0.0003966922
531,SKF AB B SHARES,SE0000108227,Sweden,SEK,Stockholm Stock Exchange,Equity,Baa1,OMX Stockholm 30 Index,Industrials,0.0003959788
532,NICE LTD,IL0002730112,Israel,ILS,-,Equity,-,-,Information Technology,0.0003958518
533,ALSTOM,FR0010220475,France,EUR,Euronext Paris,Equity,Baa3,CAC 40 Index,Industrials,0.0003958377
534,LASERTEC CORP,JP3979200007,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Information Technology,0.0003925146
535,FUJI ELECTRIC CO LTD,JP3820000002,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Industrials,0.0003916395
536,SCHINDLER HOLDING AG,CH0024638212,Switzerland,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Industrials,0.0003890386
537,SHIMANO INC,JP3358000002,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Consumer Discretionary,0.0003879489
538,SKANSKA AB B SHS,SE0000113250,Sweden,SEK,Stockholm Stock Exchange,Equity,-,OMX Stockholm 30 Index,Industrials,0.0003877753
539,HENNES + MAURITZ AB B SHS,SE0000106270,Sweden,SEK,Stockholm Stock Exchange,Equity,-,OMX Stockholm 30 Index,Consumer Discretionary,0.0003850739
540,DESCARTES SYSTEMS GRP/THE,CA2499061083,Canada,CAD,Toronto Stock Exchange,Equity,-,S&P/TSX COMPOSITE Index,Information Technology,0.0003848474
541,BOUYGUES SA,FR0000120503,France,EUR,Euronext Paris,Equity,Baa1,CAC 40 Index,Industrials,0.0003826965
542,OPEN TEXT CORP,CA6837151068,Canada,CAD,Toronto Stock Exchange,Equity,Ba1,S&P/TSX COMPOSITE Index,Information Technology,0.0003826795
543,LIFCO AB B SHS,SE0015949201,Sweden,SEK,-,Equity,-,OMX Stockholm 30 Index,Industrials,0.0003825565
544,SVENSKA CELLULOSA AB SCA B,SE0000112724,Sweden,SEK,Stockholm Stock Exchange,Equity,Baa1,OMX Stockholm 30 Index,Materials,0.000381206
545,TOROMONT INDUSTRIES LTD,CA8911021050,Canada,CAD,Toronto Stock Exchange,Equity,-,S&P/TSX COMPOSITE Index,Industrials,0.0003784273
546,OMV AG,AT0000743059,Austria,EUR,Vienna Stock Exchange,Equity,A3,Austrian Traded Index,Energy,0.0003780472
547,LOTTERY CORP LTD/THE,AU0000219529,Australia,AUD,-,Equity,-,-,Consumer Discretionary,0.0003765652
548,AISIN CORP,JP3102000001,Japan,JPY,Tokyo Stock Exchange,Equity,A1,TOPIX Index,Consumer Discretionary,0.0003757437
549,EISAI CO LTD,JP3160400002,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Health Care,0.0003736045
550,SOUTH32 LTD,AU000000S320,Australia,AUD,Australian Stock Exchange,Equity,-,ASX All Ordinaries Index,Materials,0.0003726796
551,CAE INC,CA1247651088,Canada,CAD,Toronto Stock Exchange,Equity,-,S&P/TSX COMPOSITE Index,Industrials,0.0003721624
552,M+G PLC,GB00BKFB1C65,United Kingdom,GBP,-,Equity,-,-,Financials,0.0003714083
553,GILDAN ACTIVEWEAR INC,CA3759161035,Canada,CAD,Toronto Stock Exchange,Equity,-,S&P/TSX COMPOSITE Index,Consumer Discretionary,0.0003712962
554,MAKITA CORP,JP3862400003,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Industrials,0.0003711529
555,FIRSTSERVICE CORP,CA33767E2024,Canada,CAD,Toronto Stock Exchange,Equity,-,S&P/TSX COMPOSITE Index,Real Estate,0.0003709389
556,CARREFOUR SA,FR0000120172,France,EUR,Euronext Paris,Equity,Baa2,CAC 40 Index,Consumer Staples,0.0003706733
557,TELUS CORP,CA87971M1032,Canada,CAD,Toronto Stock Exchange,Equity,Baa1,S&P/TSX COMPOSITE Index,Communication Services,0.0003675829
558,METSO CORP,FI0009014575,Finland,EUR,Helsinki Stock Exchange,Equity,-,OMX Helsinki Index,Industrials,0.000366017
559,HENKEL AG & CO KGAA,DE0006048408,Germany,EUR,XETRA,Equity,A2,DAX Index,Consumer Staples,0.000364497
560,CONCORDIA FINANCIAL GROUP LT,JP3305990008,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Financials,0.0003631882
561,NEMETSCHEK SE,DE0006452907,Germany,EUR,XETRA,Equity,-,DAX Index,Information Technology,0.0003621698
562,SINGAPORE AIRLINES LTD,SG1V61937297,Singapore,SGD,-,Equity,-,-,Industrials,0.0003605669
563,REDEIA CORP SA,ES0173093024,Spain,EUR,Mercado Continuo Espana,Equity,-,IBEX 35 Index,Utilities,0.0003588425
564,GALP ENERGIA SGPS SA,PTGAL0AM0009,Portugal,EUR,Euronext Lisbon,Equity,-,-,Energy,0.0003585888
565,FORTUM OYJ,FI0009007132,Finland,EUR,Helsinki Stock Exchange,Equity,A2,OMX Helsinki Index,Utilities,0.0003585402
566,ASX LTD,AU000000ASX7,Australia,AUD,Australian Stock Exchange,Equity,Aa3,ASX All Ordinaries Index,Financials,0.0003567628
567,CAPITALAND ASCENDAS REIT,SG1M77906915,Singapore,SGD,-,Real Estate Investment Trust,-,-,Real Estate,0.0003559567
568,AKER BP ASA,NO0010345853,Norway,NOK,Oslo Stock Exchange,Equity,-,Oslo SE All-share Index,Energy,0.0003553585
569,BRENNTAG SE,DE000A1DAHH0,Germany,EUR,XETRA,Equity,Baa3,DAX Index,Industrials,0.0003553103
570,ORKLA ASA,NO0003733800,Norway,NOK,Oslo Stock Exchange,Equity,-,Oslo SE All-share Index,Consumer Staples,0.0003548307
571,LUNDIN MINING CORP,CA5503721063,Canada,CAD,Toronto Stock Exchange,Equity,-,S&P/TSX COMPOSITE Index,Materials,0.0003515513
572,SECURITAS AB B SHS,SE0000163594,Sweden,SEK,Stockholm Stock Exchange,Equity,Baa2,OMX Stockholm 30 Index,Industrials,0.0003514835
573,TFI INTERNATIONAL INC,CA87241L1094,Canada,CAD,Toronto Stock Exchange,Equity,-,S&P/TSX COMPOSITE Index,Industrials,0.0003498994
574,NESTE OYJ,FI0009013296,Finland,EUR,Helsinki Stock Exchange,Equity,-,OMX Helsinki Index,Energy,0.0003493425
575,UNICHARM CORP,JP3951600000,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Consumer Staples,0.0003452749
576,KNORR BREMSE AG,DE000KBX1006,Germany,EUR,XETRA,Equity,-,DAX Index,Industrials,0.0003448362
577,TRELLEBORG AB B SHS,SE0000114837,Sweden,SEK,Stockholm Stock Exchange,Equity,-,OMX Stockholm 30 Index,Industrials,0.0003447191
578,UNIPOL ASSICURAZIONI SPA,IT0004810054,Italy,EUR,Milan Stock Exchange,Equity,Ba2,FTSE Italia All-Share Index,Financials,0.000344242
579,NIPPON BUILDING FUND INC,JP3027670003,Japan,JPY,Tokyo Stock Exchange,Real Estate Investment Trust,-,TOPIX Index,Real Estate,0.000343001
580,ELISA OYJ,FI0009007884,Finland,EUR,Helsinki Stock Exchange,Equity,Baa2,OMX Helsinki Index,Communication Services,0.0003429722
581,NEXON CO LTD,JP3758190007,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Communication Services,0.0003428258
582,WHITBREAD PLC,GB00B1KJJ408,United Kingdom,GBP,London Stock Exchange,Equity,-,FTSE 100 Index,Consumer Discretionary,0.0003422097
583,NTT DATA GROUP CORP,JP3165700000,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Information Technology,0.0003409503
584,MITSUBISHI CHEMICAL GROUP CO,JP3897700005,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Materials,0.000340913
585,EDENRED,FR0010908533,France,EUR,Euronext Paris,Equity,Baa1,CAC 40 Index,Financials,0.0003395966
586,TENARIS SA,LU2598331598,Luxembourg,EUR,-,Equity,-,-,Energy,0.0003371563
587,NITORI HOLDINGS CO LTD,JP3756100008,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Consumer Discretionary,0.0003367381
588,AUCKLAND INTL AIRPORT LTD,NZAIAE0002S6,New Zealand,NZD,New Zealand Exchange,Equity,-,-,Industrials,0.0003366938
589,RENAULT SA,FR0000131906,France,EUR,Euronext Paris,Equity,Ba1,CAC 40 Index,Consumer Discretionary,0.0003366649
590,KEYERA CORP,CA4932711001,Canada,CAD,Toronto Stock Exchange,Equity,-,S&P/TSX COMPOSITE Index,Energy,0.0003349918
591,GROUPE BRUXELLES LAMBERT NV,BE0003797140,Belgium,EUR,Euronext Brussels,Equity,-,BEL 20 Index,Financials,0.0003336419
592,APA GROUP,AU000000APA1,Australia,AUD,Australian Stock Exchange,Equity,-,ASX All Ordinaries Index,Utilities,0.0003314328
593,TOHO CO LTD,JP3598600009,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Communication Services,0.0003312309
594,REXEL SA,FR0010451203,France,EUR,Euronext Paris,Equity,Ba3,CAC 40 Index,Industrials,0.0003292221
595,MITSUBISHI HC CAPITAL INC,JP3499800005,Japan,JPY,Tokyo Stock Exchange,Equity,A3,TOPIX Index,Financials,0.0003279051
596,NIBE INDUSTRIER AB B SHS,SE0015988019,Sweden,SEK,-,Equity,-,-,Industrials,0.0003267917
597,SONIC HEALTHCARE LTD,AU000000SHL7,Australia,AUD,Australian Stock Exchange,Equity,-,ASX All Ordinaries Index,Health Care,0.0003261246
598,MONDAY.COM LTD,IL0011762130,Israel,USD,NASDAQ National Market System,Equity,-,NASDAQ Composite Index,Information Technology,0.00032576
599,TIS INC,JP3104890003,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Information Technology,0.0003255151
600,ISUZU MOTORS LTD,JP3137200006,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Consumer Discretionary,0.0003252664
601,EPIROC AB B,SE0015658117,Sweden,SEK,-,Equity,-,OMX Stockholm 30 Index,Industrials,0.000323909
602,SAINSBURY (J) PLC,GB00B019KW72,United Kingdom,GBP,London Stock Exchange,Equity,-,FTSE 100 Index,Consumer Staples,0.000323243
603,ENTAIN PLC,IM00B5VQMV65,United Kingdom,GBP,London Stock Exchange,Equity,-,FTSE 100 Index,Consumer Discretionary,0.000322021
604,SEKISUI CHEMICAL CO LTD,JP3419400001,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Industrials,0.0003216348
605,SPIRAX GROUP PLC,GB00BWFGQN14,United Kingdom,GBP,London Stock Exchange,Equity,-,FTSE 100 Index,Industrials,0.0003212947
606,STORA ENSO OYJ R SHS,FI0009005961,Finland,EUR,Helsinki Stock Exchange,Equity,Ba2,OMX Helsinki Index,Materials,0.0003197622
607,JFE HOLDINGS INC,JP3386030005,Japan,JPY,Tokyo Stock Exchange,Equity,Baa1,TOPIX Index,Materials,0.0003188896
608,BARRATT REDROW PLC,GB0000811801,United Kingdom,GBP,London Stock Exchange,Equity,-,FTSE 100 Index,Consumer Discretionary,0.0003176386
609,RECORDATI INDUSTRIA CHIMICA,IT0003828271,Italy,EUR,Milan Stock Exchange,Equity,-,FTSE Italia All-Share Index,Health Care,0.000315362
610,BEIJER REF AB,SE0015949748,Sweden,SEK,-,Equity,-,OMX Stockholm 30 Index,Industrials,0.0003138767
611,MATSUKIYOCOCOKARA + CO,JP3869010003,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Consumer Staples,0.0003138407
612,NIPPON PAINT HOLDINGS CO LTD,JP3749400002,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Materials,0.0003093511
613,JERONIMO MARTINS,PTJMT0AE0001,Portugal,EUR,Euronext Lisbon,Equity,-,-,Consumer Staples,0.0003088073
614,HANKYU HANSHIN HOLDINGS INC,JP3774200004,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Industrials,0.0003083741
615,HONGKONG LAND HOLDINGS LTD,BMG4587L1090,Hong Kong,USD,-,Equity,-,-,Real Estate,0.0003081967
616,INDUTRADE AB,SE0001515552,Sweden,SEK,Stockholm Stock Exchange,Equity,-,OMX Stockholm 30 Index,Industrials,0.0003079197
617,WIX.COM LTD,IL0011301780,Israel,USD,NASDAQ National Market System,Equity,-,NASDAQ Composite Index,Information Technology,0.0003077711
618,KINGFISHER PLC,GB0033195214,United Kingdom,GBP,London Stock Exchange,Equity,Baa2,FTSE 100 Index,Consumer Discretionary,0.0003075531
619,YAMAHA MOTOR CO LTD,JP3942800008,Japan,JPY,Tokyo Stock Exchange,Equity,A3,TOPIX Index,Consumer Discretionary,0.0003042997
620,PORSCHE AUTOMOBIL HLDG PRF,DE000PAH0038,Germany,EUR,XETRA,Preferred Stock,-,DAX Index,Consumer Discretionary,0.0003037212
621,TREND MICRO INC,JP3637300009,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Information Technology,0.0003029381
622,SYSMEX CORP,JP3351100007,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Health Care,0.0003020065
623,M3 INC,JP3435750009,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Health Care,0.0003005387
624,SHISEIDO CO LTD,JP3351600006,Japan,JPY,Tokyo Stock Exchange,Equity,A2,TOPIX Index,Consumer Staples,0.0002990553
625,IMCD NV,NL0010801007,Netherlands,EUR,Euronext Amsterdam,Equity,-,Amsterdam Exchanges Index,Industrials,0.0002974829
626,SYENSQO SA,BE0974464977,Belgium,EUR,Euronext Brussels,Equity,-,-,Materials,0.0002970329
627,BLUESCOPE STEEL LTD,AU000000BSL0,Australia,AUD,Australian Stock Exchange,Equity,Ba2,ASX All Ordinaries Index,Materials,0.0002948626
628,YOKOGAWA ELECTRIC CORP,JP3955000009,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Information Technology,0.0002945341
629,PHOENIX GROUP HOLDINGS PLC,GB00BGXQNP29,United Kingdom,GBP,-,Equity,-,-,Financials,0.000294183
630,ZALANDO SE,DE000ZAL1111,Germany,EUR,XETRA,Equity,-,DAX Index,Consumer Discretionary,0.0002929056
631,DAI NIPPON PRINTING CO LTD,JP3493800001,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Industrials,0.0002927275
632,DASSAULT AVIATION SA,FR0014004L86,France,EUR,-,Equity,-,-,Industrials,0.0002925297
633,TOKYU CORP,JP3574200006,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Industrials,0.0002924996
634,INTL CONSOLIDATED AIRLINE DI,ES0177542018,United Kingdom,EUR,London Stock Exchange,Equity,Ba2,FTSE 100 Index,Industrials,0.0002923904
635,VICINITY CENTRES,AU000000VCX7,Australia,AUD,Australian Stock Exchange,Real Estate Investment Trust,-,ASX All Ordinaries Index,Real Estate,0.0002921141
636,DAITO TRUST CONSTRUCT CO LTD,JP3486800000,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Real Estate,0.000291777
637,WASHINGTON H. SOUL PATTINSON,AU000000SOL3,Australia,AUD,Australian Stock Exchange,Equity,B1,ASX All Ordinaries Index,Financials,0.0002900196
638,NIPPON SANSO HOLDINGS CORP,JP3711600001,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Materials,0.0002896859
639,ZENSHO HOLDINGS CO LTD,JP3429300001,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Consumer Discretionary,0.0002895768
640,SGH LTD,AU0000364754,Australia,AUD,-,Equity,-,-,Industrials,0.000289315
641,LEG IMMOBILIEN SE,DE000LEG1110,Germany,EUR,XETRA,Equity,-,DAX Index,Real Estate,0.0002886857
642,AP MOLLER MAERSK A/S A,DK0010244425,Denmark,DKK,Copenhagen Stock Exchange,Equity,Baa1,OMX COPENHAGEN 20 Index,Industrials,0.0002874949
643,DCC PLC,IE0002424939,Ireland,GBP,London Stock Exchange,Equity,-,FTSE 100 Index,Industrials,0.0002863286
644,INFRATIL LTD,NZIFTE0003S3,New Zealand,NZD,-,Equity,-,-,Financials,0.0002858499
645,MONDI PLC,GB00BMWC6P49,United Kingdom,GBP,-,Equity,-,-,Materials,0.000284965
646,DR ING HC F PORSCHE AG,DE000PAG9113,Germany,EUR,-,Preferred Stock,-,DAX Index,Consumer Discretionary,0.0002827234
647,HKT TRUST AND HKT LTD SS,HK0000093390,Hong Kong,HKD,-,Equity,-,Hang Seng Index,Communication Services,0.0002820382
648,SUMITOMO METAL MINING CO LTD,JP3402600005,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Materials,0.0002818547
649,CANADIAN TIRE CORP CLASS A,CA1366812024,Canada,CAD,Toronto Stock Exchange,Equity,Baa1,S&P/TSX COMPOSITE Index,Consumer Discretionary,0.0002810058
650,MINEBEA MITSUMI INC,JP3906000009,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Industrials,0.0002806194
651,IVANHOE MINES LTD CL A,CA46579R1047,Canada,CAD,-,Equity,-,-,Materials,0.000279939
652,KESKO OYJ B SHS,FI0009000202,Finland,EUR,Helsinki Stock Exchange,Equity,-,OMX Helsinki Index,Consumer Staples,0.0002799355
653,SCREEN HOLDINGS CO LTD,JP3494600004,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Information Technology,0.0002796298
654,SANDS CHINA LTD,KYG7800X1079,Macao,HKD,-,Equity,-,Hang Seng Index,Consumer Discretionary,0.0002796142
655,AGC INC,JP3112000009,Japan,JPY,Tokyo Stock Exchange,Equity,A2,TOPIX Index,Industrials,0.0002793557
656,BIOMERIEUX,FR0013280286,France,EUR,-,Equity,-,-,Health Care,0.0002781442
657,INDUSTRIVARDEN AB C SHS,SE0000107203,Sweden,SEK,Stockholm Stock Exchange,Equity,A3,OMX Stockholm 30 Index,Financials,0.0002774262
658,SAPUTO INC,CA8029121057,Canada,CAD,Toronto Stock Exchange,Equity,B1,S&P/TSX COMPOSITE Index,Consumer Staples,0.0002758432
659,LUNDIN GOLD INC,CA5503711080,Canada,CAD,-,Equity,-,-,Materials,0.0002750444
660,YARA INTERNATIONAL ASA,NO0010208051,Norway,NOK,Oslo Stock Exchange,Equity,Baa2,Oslo SE All-share Index,Materials,0.0002742989
661,SARTORIUS STEDIM BIOTECH,FR0013154002,France,EUR,Euronext Paris,Equity,-,CAC 40 Index,Health Care,0.0002734863
662,TELECOM ITALIA SPA,IT0003497168,Italy,EUR,Milan Stock Exchange,Equity,Ba1,FTSE Italia All-Share Index,Communication Services,0.0002718725
663,TOPPAN HOLDINGS INC,JP3629000005,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Industrials,0.0002716666
664,GETLINK SE,FR0010533075,France,EUR,Euronext Paris,Equity,-,CAC 40 Index,Industrials,0.0002712616
665,CTS EVENTIM AG & CO KGAA,DE0005470306,Germany,EUR,XETRA,Equity,-,DAX Index,Communication Services,0.0002689537
666,KIKKOMAN CORP,JP3240400006,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Consumer Staples,0.0002683098
667,SWEDISH ORPHAN BIOVITRUM AB,SE0000872095,Sweden,SEK,Stockholm Stock Exchange,Equity,-,OMX Stockholm 30 Index,Health Care,0.0002662047
668,SHIMADZU CORP,JP3357200009,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Information Technology,0.0002657179
669,CHIBA BANK LTD/THE,JP3511800009,Japan,JPY,Tokyo Stock Exchange,Equity,A1,TOPIX Index,Financials,0.0002654917
670,SARTORIUS AG VORZUG,DE0007165631,Germany,EUR,-,Preferred Stock,-,DAX Index,Health Care,0.0002652002
