Unnamed: 0,Name,ISIN,Country,Currency,Exchange,Type of Security,Rating,Primary Listing,Industry Classification,Weighting
334,MERCK KGAA,DE0006599905,Germany,EUR,XETRA,Equity,A3,DAX Index,Health Care,0.0007585176
335,KONAMI GROUP CORP,JP3300200007,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Communication Services,0.0007513591
336,SGS SA REG,CH1256740924,Switzerland,CHF,-,Equity,-,Swiss Market Index,Industrials,0.0007490815
337,HALMA PLC,GB0004052071,United Kingdom,GBP,London Stock Exchange,Equity,-,FTSE 100 Index,Information Technology,0.0007481865
338,CHECK POINT SOFTWARE TECH,IL0010824113,Israel,USD,NASDAQ National Market System,Equity,-,NASDAQ Composite Index,Information Technology,0.0007472261
339,TOYOTA TSUSHO CORP,JP3635000007,Japan,JPY,Tokyo Stock Exchange,Equity,A2,TOPIX Index,Industrials,0.0007451675
340,SANTOS LTD,AU000000STO6,Australia,AUD,Australian Stock Exchange,Equity,Baa1,ASX All Ordinaries Index,Energy,0.0007319029
341,ESSITY AB (PUBL),SE0009922164,Sweden,SEK,Stockholm Stock Exchange,Equity,-,OMX Stockholm 30 Index,Consumer Staples,0.0007304112
342,GENMAB A/S,DK0010272202,Denmark,DKK,Copenhagen Stock Exchange,Equity,-,OMX COPENHAGEN 20 Index,Health Care,0.0007293948
343,ENEOS HOLDINGS INC,JP3386450005,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Energy,0.0007273348
344,SECOM CO LTD,JP3421800008,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Industrials,0.0007214272
345,IHI CORP,JP3134800006,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Industrials,0.0007178459
346,ARCELORMITTAL,LU1598757687,Luxembourg,EUR,Euronext Amsterdam,Equity,-,Amsterdam Exchanges Index,Materials,0.000716374
347,NORTHERN STAR RESOURCES LTD,AU000000NST8,Australia,AUD,Australian Stock Exchange,Equity,-,ASX All Ordinaries Index,Materials,0.0007121996
348,BANCO BPM SPA,IT0005218380,Italy,EUR,Milan Stock Exchange,Equity,-,FTSE Italia All-Share Index,Financials,0.0007108467
349,NITTO DENKO CORP,JP3684000007,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Materials,0.0007104368
350,TECK RESOURCES LTD CLS B,CA8787422044,Canada,CAD,New York Stock Exchange,Equity,Baa2,S&P 500 Index,Materials,0.0007099992
351,INFORMA PLC,GB00BMJ6DW54,United Kingdom,GBP,London Stock Exchange,Equity,-,FTSE 100 Index,Communication Services,0.0007099088
352,UPM KYMMENE OYJ,FI0009005987,Finland,EUR,Helsinki Stock Exchange,Equity,Ba1,OMX Helsinki Index,Materials,0.0007082395
353,CHOCOLADEFABRIKEN LINDT REG,CH0010570759,Switzerland,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Consumer Staples,0.0007056876
